category,subcategory,question,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty
Civics,Levels of Government,Which document begins with 'We the People' in the United States?,Declaration of Independence,Constitution,Federalist Papers,Bill of Rights only,B,The U.S. Constitution begins with 'We the People.',Easy
Money,Budgeting,What is a budget?,A savings account,A plan for spending and saving money,A type of tax,A credit score,B,A budget helps track income and expenses.,Easy
Money,Budgeting,What is income?,Money you spend,Money you earn,Money you owe,A bank fee,B,"Income is money you receive, such as from work.",Easy
Money,Budgeting,What is an expense?,Money earned,Money spent,Money invested,A reward point,B,An expense is money that goes out.,Easy
Money,Budgeting,What does it mean to live within your means?,Spend more than you earn,Spend less than or equal to what you earn,Avoid all bills,Never use cash,B,Living within your means helps avoid debt.,Easy
Money,Budgeting,Which is usually a need rather than a want?,Designer shoes,Rent,Movie tickets,Video game,B,Housing is generally a need.,Easy
Money,Budgeting,What is a fixed expense?,A bill that changes every month,A regular expense that stays about the same,A random gift,A bonus payment,B,Fixed expenses include things like rent.,Easy
Money,Budgeting,What is a variable expense?,A bill that changes from month to month,A tax refund,A permanent salary,A one-time investment only,A,"Variable expenses can change, such as groceries or gas.",Easy
Money,Budgeting,Why is tracking spending helpful?,It wastes time,It helps you understand where your money goes,It lowers your age,It guarantees wealth overnight,B,Tracking spending helps improve financial decisions.,Easy
Money,Budgeting,What is a financial goal?,A random guess,"A target for your money, like saving for a car",A store coupon,A type of loan,B,Financial goals help you plan ahead.,Easy
Money,Budgeting,What is an emergency fund?,Money for shopping,Savings for unexpected costs,A vacation account,A retirement tax,B,Emergency funds help cover surprise expenses.,Easy
Money,Saving,What does saving mean?,Spending now,Keeping money for future use,Borrowing money,Ignoring bills,B,Saving means setting money aside.,Easy
Money,Saving,Where do many people keep savings?,Under a random street sign,In a bank or credit union account,Only in cash at home,On a bus,B,Banks and credit unions are common places for savings.,Easy
Money,Saving,Why is it smart to save regularly?,It usually helps build financial security,It guarantees instant riches,It removes all taxes,It stops bills from coming,A,Regular saving builds a cushion over time.,Easy
Money,Saving,What is interest on savings?,Money the bank may add to your balance,A penalty for voting,The cost of groceries,A type of insurance,A,Interest is money earned on deposited funds.,Medium
Money,Saving,Which habit can help increase savings?,Buying without a plan,Setting aside a portion of each paycheck,Ignoring your bank account,Only spending on wants,B,Automatic or regular saving helps balances grow.,Easy
Money,Saving,What is a savings goal?,A limit on voting,A target amount you want to save,A monthly fine,A credit score category,B,A savings goal gives direction to your plan.,Easy
Money,Saving,Why compare prices before buying?,To spend more,To find the best value,To avoid stores forever,To skip budgeting,B,Comparing prices can reduce spending.,Easy
Money,Saving,What is delayed gratification?,Spending immediately,Waiting to buy something so you can save first,Borrowing from everyone,Avoiding all shopping forever,B,Delayed gratification helps prioritize long-term goals.,Medium
Money,Saving,What is a piggy bank an example of?,A checking account,A simple way to save money,A type of loan,A tax form,B,It is a basic saving tool.,Easy
Money,Saving,What is a rainy-day fund?,Money used only on sunny days,Savings for smaller unexpected costs,An entertainment fund,A sports account,B,A rainy-day fund helps with minor surprises.,Medium
Money,Banking,What is a bank account?,A place to store and manage money,A type of movie ticket,A sports score,A tax bill,A,Bank accounts help people store and manage money.,Easy
Money,Banking,What is a checking account commonly used for?,Daily spending and bill payments,Long-term retirement only,Buying houses only,Avoiding deposits,A,Checking accounts are often used for everyday transactions.,Easy
Money,Banking,What is a debit card linked to?,A random gift card,Your bank account balance,Only your credit score,A library account,B,Debit cards pull money from your account.,Easy
Money,Banking,What is an ATM used for?,Flying planes,Accessing cash and some bank services,Paying taxes only,Sending letters,B,ATMs let users withdraw cash and do other simple tasks.,Easy
Money,Banking,What is a direct deposit?,Cash hidden at home,Money electronically sent into your account,A store refund only,A paper check torn in half,B,Employers often use direct deposit to pay workers.,Easy
Money,Banking,What is a routing number used for?,Identifying a bank in transactions,Measuring credit score,Calculating taxes,Tracking sports teams,A,Routing numbers identify financial institutions.,Hard
Money,Banking,Why should you review your bank statement?,To see account activity and catch mistakes,To change your age,To improve weather,To raise taxes,A,Statements help you check for errors or fraud.,Medium
Money,Banking,What is overdraft?,Spending more than is in your account,A type of savings interest,A tax deduction,A school grade,A,Overdraft happens when withdrawals exceed available funds.,Medium
Money,Banking,What is a credit union?,A for-profit movie company,A member-owned financial institution,A type of tax office,A payday lender,B,Credit unions are member-owned financial institutions.,Medium
Money,Banking,Why keep your PIN private?,To make friends,To protect your account from unauthorized use,To increase shopping options,To lower grocery prices,B,A PIN helps secure your account.,Easy
Money,Credit and Debt,What is credit?,The ability to borrow money and repay later,Cash in your pocket,A tax bill,A lottery ticket,A,Credit allows purchases or loans to be repaid over time.,Easy
Money,Credit and Debt,What is debt?,Money owed,Money saved,Money donated,Money invested,A,Debt is an obligation to repay borrowed money.,Easy
Money,Credit and Debt,What is a credit score?,A number that reflects credit history,A sports ranking,A school exam score only,A tax form,A,Credit scores summarize credit risk based on history.,Medium
Money,Credit and Debt,Paying a credit card bill on time usually helps your what?,Credit history,Age,Job title,Driver license,A,On-time payments generally help your credit profile.,Easy
Money,Credit and Debt,What is a loan?,Money borrowed that must be repaid,A free gift,A tax refund,A utility bill,A,"Loans must be repaid, often with interest.",Easy
Money,Credit and Debt,What is interest on a loan?,Extra money paid to borrow,A charity donation,A food discount,A voting fee,A,Interest is the cost of borrowing money.,Easy
Money,Credit and Debt,What can happen if you miss loan payments?,Your debt may grow and your credit can be harmed,Nothing at all,Your age changes,Your rent disappears,A,Missed payments can lead to fees and credit damage.,Easy
Money,Credit and Debt,What is a credit card minimum payment?,The smallest amount you can pay to stay current,The maximum amount you may owe,A free reward,A tax charge,A,Paying only the minimum can keep debt around longer.,Medium
Money,Credit and Debt,What is collateral?,Property pledged to secure a loan,A grocery list,A bank holiday,A gift receipt,A,Collateral can be taken if a secured loan is not repaid.,Hard
Money,Credit and Debt,Why is high-interest debt risky?,It can become expensive quickly,It always helps your budget,It lowers all bills,It counts as savings,A,High interest makes debt more costly over time.,Easy
Money,Investing,What is investing?,Using money with the goal of growing it over time,Hiding cash,Only spending on fun,Avoiding banks,A,"Investing seeks future growth, though it can involve risk.",Easy
Money,Investing,What is a stock?,A small ownership share in a company,A savings account,A car loan,A tax statement,A,Stocks represent ownership shares.,Medium
Money,Investing,What is diversification?,Putting all money in one place,Spreading investments across different assets,Spending without a plan,Borrowing from many banks,B,Diversification can help manage risk.,Medium
Money,Investing,What is risk in investing?,The chance of losing money or not earning as expected,A guaranteed profit,A free reward,A tax refund,A,Risk is the possibility of poor outcomes.,Easy
Money,Investing,What is a bond?,A type of debt investment,A checking account,A grocery coupon,A video game,A,Bonds are loans made to governments or companies.,Hard
Money,Investing,Why might long-term investing be helpful?,It gives investments more time to grow,It removes all risk,It stops taxes forever,It guarantees wealth,A,Longer timelines can help manage market ups and downs.,Medium
Money,Investing,What is compound growth?,Growth on both the original amount and earlier gains,A one-time payment only,A bank fee,A type of tax law,A,Compound growth builds on prior earnings.,Hard
Money,Investing,What is retirement saving?,Setting money aside for later life after working years,A store discount,A short-term bill,A sports fund,A,Retirement saving helps prepare for the future.,Easy
Money,Investing,Which is generally safer for emergency money?,A highly volatile stock,An accessible savings account,A random collectible,A risky startup only,B,Emergency funds should usually stay accessible and stable.,Medium
Money,Investing,"Before investing, what is wise to understand?","The risks, fees, and goals involved",Only the logo color,Nothing at all,Only your favorite celebrity's opinion,A,Informed investing includes understanding risks and costs.,Easy
Health,Body Basics,Which organ pumps blood through the body?,Brain,Heart,Lungs,Liver,B,The heart pumps blood throughout the body.,Easy
Health,Body Basics,Which organ helps you breathe?,Stomach,Lungs,Kidneys,Skin,B,The lungs help the body take in oxygen.,Easy
Health,Body Basics,Which body part helps you think and control actions?,Knee,Brain,Elbow,Tooth,B,The brain helps control the body and process thoughts.,Easy
Health,Body Basics,Bones are part of which body system?,Circulatory system,Skeletal system,Digestive system,Respiratory system,B,Bones make up the skeletal system.,Easy
Health,Body Basics,Which sense organ is used for hearing?,Eye,Ear,Nose,Tongue,B,Ears are used for hearing.,Easy
Health,Body Basics,Which body part helps you chew food?,Feet,Hands,Teeth,Hair,C,Teeth help break down food.,Easy
Health,Body Basics,What carries oxygen in your blood?,Red blood cells,Hair cells,Skin cells,Bone cells,A,Red blood cells carry oxygen.,Hard
Health,Body Basics,What do muscles help you do?,Sleep only,Move,Grow plants,Read maps,B,Muscles help the body move.,Easy
Health,Body Basics,Which system includes the brain and nerves?,Digestive system,Nervous system,Skeletal system,Endocrine system,B,The nervous system includes the brain and nerves.,Medium
Health,Body Basics,What protects your body from outside germs and injury?,Skin,Shoes,Books,Hairbrush,A,Skin is the body's protective outer covering.,Easy
Health,Nutrition,Which is generally the healthiest snack option?,Candy bar,Apple slices,Soda,Potato chips,B,Fruit like apples is generally a healthier snack choice.,Easy
Health,Nutrition,Why is drinking water important?,It helps the body function properly,It replaces sleep,It removes the need for food,It makes exercise unnecessary,A,Water supports many body functions.,Easy
Health,Nutrition,Which food group is a major source of protein?,Beans,Candy,Soda,Cookies,A,Beans are a healthy source of protein.,Easy
Health,Nutrition,Vegetables are important because they often provide what?,Only sugar,Vitamins and minerals,Only caffeine,Only fat,B,Vegetables often provide essential nutrients.,Easy
Health,Nutrition,What is a balanced meal?,A meal with different nutrient types,A meal with only dessert,A meal with no water,A meal eaten standing up,A,Balanced meals include a mix of foods and nutrients.,Medium
Health,Nutrition,Which drink often has the most added sugar?,Water,Unsweetened tea,Regular soda,Milk,C,Regular soda often contains a lot of added sugar.,Easy
Health,Nutrition,What does it mean to eat in moderation?,Never eat,Eat reasonable amounts,Only eat one food forever,Eat as fast as possible,B,Moderation means not overdoing it.,Easy
Health,Nutrition,Which food is usually whole grain?,Brown rice,Candy,Butter,Ice cream,A,Brown rice is a whole grain.,Easy
Health,Nutrition,Why is breakfast helpful for many people?,It can provide energy to start the day,It removes the need for dinner,It makes sleep impossible,It cures all illness,A,Breakfast can help with energy and focus.,Medium
Health,Nutrition,What is a vitamin?,A nutrient the body needs in small amounts,A type of shoe,A bank fee,A sports score,A,Vitamins support health and body function.,Medium
Health,Exercise,Why is regular exercise beneficial?,"It supports heart, muscles, and overall health",It replaces food,It stops all disease,It removes the need for sleep,A,Exercise helps many body systems function better.,Easy
Health,Exercise,What is a warm-up?,Movement before exercise to prepare the body,A nap after exercise,Only lifting heavy weights,Skipping activity,A,Warm-ups help prepare muscles and joints.,Easy
Health,Exercise,Which activity is aerobic exercise?,Walking briskly,Sleeping,Reading quietly,Watching television,A,Brisk walking can improve heart and lung fitness.,Easy
Health,Exercise,Why is stretching helpful?,It may improve flexibility,It replaces hydration,It guarantees winning games,It makes bones disappear,A,Stretching can help flexibility and comfort.,Easy
Health,Exercise,What is strength training?,Exercise that builds muscle strength,Only running long distances,Avoiding movement,Reading health articles,A,Strength training helps build muscle and support bones.,Medium
Health,Exercise,What is a common sign you should rest during exercise?,Severe pain or dizziness,Feeling alive,A normal heartbeat,Mild warmth,A,Severe pain or dizziness can signal you should stop and rest.,Medium
Health,Exercise,How often should children and teens usually be physically active?,Rarely,"Regularly, often daily",Only on holidays,Only once a month,B,Regular activity is encouraged for growing bodies.,Medium
Health,Exercise,What helps prevent injury during sports?,Proper form and safety gear,Ignoring pain,Skipping warm-up,Wearing sandals,A,Form and gear reduce risk of injury.,Easy
Health,Exercise,What is endurance?,The ability to keep going over time,A type of snack,The number of shoes you own,A school grade,A,Endurance is the ability to sustain effort.,Medium
Health,Exercise,Why is rest important after hard exercise?,The body needs time to recover,Rest is never helpful,It instantly builds muscles without work,It replaces water,A,Recovery helps the body repair and adapt.,Medium
Health,Mental Health,What is mental health?,"Health of thoughts, feelings, and coping",Only physical strength,Only sleep habits,Only test scores,A,Mental health includes emotional and psychological well-being.,Easy
Health,Mental Health,Which action can support mental wellness?,Talking to a trusted person,Ignoring every feeling,Never sleeping,Avoiding all water,A,Supportive conversations can help mental wellness.,Easy
Health,Mental Health,What is stress?,A type of fruit,Pressure or strain on the mind or body,A government office,A sports trophy,B,Stress is a common response to demands or challenges.,Easy
Health,Mental Health,What is one healthy way to handle stress?,Deep breathing,Breaking belongings,Yelling at everyone,Skipping all meals,A,Deep breathing can help calm the body.,Easy
Health,Mental Health,Why is sleep important for mental health?,"It supports mood, memory, and focus",It is not important,It only matters for athletes,It replaces food,A,Sleep strongly affects mental well-being.,Easy
Health,Mental Health,What is anxiety?,A possible feeling of worry or fear,A bone disease only,A type of shoe,A kind of vegetable,A,Anxiety often involves excessive worry or fear.,Medium
Health,Mental Health,What is depression?,Always being lazy,A serious mental health condition affecting mood and interest,A sports injury,A traffic sign,B,Depression is more than ordinary sadness and can require support.,Medium
Health,Mental Health,"If someone is in crisis, what is important?",Reach out for immediate help from trusted adults or professionals,Hide it forever,Pretend nothing matters,Skip all support,A,Urgent safety concerns call for immediate support.,Medium
Health,Mental Health,What is a coping skill?,A healthy way to manage difficult feelings,A type of medication only,A law,A savings plan,A,Coping skills help handle stress and emotions.,Medium
Health,Mental Health,What does self-care mean?,Healthy actions that support your well-being,Only buying expensive items,Ignoring others forever,Never working,A,"Self-care includes rest, nourishment, and other healthy practices.",Easy
Health,Preventive Health,Why is handwashing important?,It helps remove germs,It changes eye color,It replaces sleep,It increases height,A,Handwashing can reduce the spread of germs.,Easy
Health,Preventive Health,When should you wash your hands?,Before eating and after using the restroom,Only on weekends,Only after sports,Only when someone reminds you,A,These are important times to wash hands.,Easy
Health,Preventive Health,What does a vaccine help the body do?,Practice defending against certain diseases,Grow taller overnight,Never need sleep,Digest all foods,A,Vaccines help train the immune system.,Medium
Health,Preventive Health,Why are routine checkups helpful?,They can catch health issues early,They are only for emergencies,They always replace exercise,They are only for adults,A,Checkups can identify concerns early.,Easy
Health,Preventive Health,What is hygiene?,Habits that help keep the body clean and healthy,A type of food,A tax system,A weather pattern,A,Hygiene includes practices like washing hands and brushing teeth.,Easy
Health,Preventive Health,Why wear a helmet when biking?,To protect your head,To ride faster automatically,To make the bike lighter,To avoid drinking water,A,Helmets help protect against head injuries.,Easy
Health,Preventive Health,What is sunscreen used for?,Protecting skin from too much sun exposure,Helping you hear better,Cleaning shoes,Improving eyesight instantly,A,Sunscreen helps protect skin from UV rays.,Easy
Health,Preventive Health,Why is brushing teeth important?,It helps prevent tooth decay and gum problems,It makes you run faster,It replaces dental visits forever,It lowers rent,A,Brushing supports oral health.,Easy
Health,Preventive Health,What should you do with prescription medicine?,Use it only as directed by a qualified provider,Share it with friends,Take extra for faster results,Ignore instructions,A,Medicines should be used only as directed.,Medium
Health,Preventive Health,What is first aid?,Basic care given before professional help if needed,A type of sport,A school subject only,A TV show,A,First aid is initial help for injury or illness.,Medium
Sports,Basketball,How many players from one team are on the court in basketball at one time?,4,5,6,7,B,Basketball teams have 5 players on the court.,Easy
Sports,Basketball,How many points is a free throw worth in basketball?,1,2,3,4,A,A free throw is worth 1 point.,Easy
Sports,Basketball,How many points is a shot worth from behind the three-point line?,1,2,3,4,C,A successful shot from beyond the arc is worth 3 points.,Easy
Sports,Basketball,What is it called when a player bounces the ball while moving?,Serving,Dribbling,Tackling,Passing offside,B,Dribbling is moving while bouncing the ball.,Easy
Sports,Basketball,What is the standard goal equipment called in basketball?,Net only,Hoop,Goalpost,Racket,B,Players shoot at the hoop.,Easy
Sports,Basketball,Which league is the top men's professional basketball league in the United States?,NFL,MLB,NBA,NHL,C,The NBA is the major men's professional basketball league.,Easy
Sports,Basketball,What is a rebound in basketball?,A jump ball,Getting the ball after a missed shot,A foul shot,A timeout,B,A rebound is collected after a missed basket attempt.,Medium
Sports,Basketball,What is an assist in basketball?,A missed shot,A pass that leads directly to a score,A foul,A turnover,B,An assist is credited for a pass leading to a basket.,Medium
Sports,Basketball,What does WNBA stand for?,World National Basketball Association,Women's National Basketball Association,Western National Basketball Alliance,Women's National Ball Athletics,B,WNBA stands for Women's National Basketball Association.,Medium
Sports,Basketball,What is overtime in basketball?,Extra playing time to break a tie,A lunch break,A halftime show,A penalty shot,A,Overtime is used if the score is tied at the end of regulation.,Easy
Sports,Football,How many points is a touchdown worth in American football?,3,6,7,8,B,A touchdown is worth 6 points before the extra try.,Easy
Sports,Football,What shape is an American football?,Round,Oval-like,Square,Triangle,B,An American football is oval-like in shape.,Easy
Sports,Football,What is the top professional American football league in the U.S.?,NBA,NFL,MLS,PGA,B,The NFL is the top American football league.,Easy
Sports,Football,What is it called when the quarterback throws the ball forward to a teammate?,Dribble,Forward pass,Header,Serve,B,A legal forward pass travels from passer to eligible receiver.,Easy
Sports,Football,How many points is a field goal worth in American football?,2,3,4,6,B,A field goal is worth 3 points.,Easy
Sports,Football,What is a fumble?,A kickoff,Dropping or losing control of the ball during play,A timeout,A fair catch,B,A fumble occurs when the ball carrier loses possession.,Medium
Sports,Football,Who leads the offense and often throws passes?,Center,Quarterback,Kicker,Linebacker,B,The quarterback commonly leads the offense.,Easy
Sports,Football,What is the championship game of the NFL called?,World Series,Super Bowl,Stanley Cup,Final Four,B,The NFL championship is the Super Bowl.,Easy
Sports,Football,What do referees use to signal penalties in football?,Red card,Yellow flag,White towel,Blue coin,B,Officials throw a yellow flag to signal penalties.,Easy
Sports,Football,What is an interception?,A successful kick,Catching the other team's pass,A time-out,Running out of bounds,B,An interception happens when a defender catches a pass intended for the offense.,Medium
Sports,Soccer,What is soccer called in most parts of the world?,Gridiron,Football,Netball,Cricket,B,Most of the world calls soccer 'football.',Easy
Sports,Soccer,How many players from one team are usually on the field in soccer?,9,10,11,12,C,A soccer team normally has 11 players on the field.,Easy
Sports,Soccer,What body part may a goalkeeper use inside the penalty area that field players generally may not?,Elbows,Hands,Knees,Shoulders,B,Goalkeepers may use their hands in the penalty area.,Easy
Sports,Soccer,What is it called when the ball crosses the goal line between the posts and under the crossbar?,Touchdown,Goal,Home run,Ace,B,That scores a goal.,Easy
Sports,Soccer,What major international tournament is played every four years for national teams?,UEFA only,FIFA World Cup,Super Bowl,Wimbledon,B,The FIFA World Cup is held every four years.,Easy
Sports,Soccer,What card is shown for a serious send-off offense in soccer?,Green,Blue,Red,Orange,C,A red card sends a player off.,Easy
Sports,Soccer,What card is usually shown as a warning in soccer?,Yellow,Purple,Black,Silver,A,A yellow card is a caution.,Easy
Sports,Soccer,What is offside in soccer related to?,Too many substitutions,Player positioning during attacking play,Ball color,Shoe size,B,Offside concerns an attacking player's position when the ball is played.,Hard
Sports,Soccer,What competition determines the champion of European club soccer?,Copa America,UEFA Champions League,Gold Cup,Africa Cup of Nations,B,The UEFA Champions League crowns Europe's top club.,Medium
Sports,Soccer,What is a penalty kick awarded for in soccer?,Winning halftime,Certain fouls in the penalty area,Substituting too often,Taking too long to celebrate,B,Penalty kicks are awarded for specific fouls in the box.,Medium
Sports,Baseball,How many outs end a half-inning in baseball?,2,3,4,5,B,Three outs end a half-inning.,Easy
Sports,Baseball,How many bases are there in a standard baseball diamond?,3,4,5,6,B,There are four bases including home plate.,Easy
Sports,Baseball,What is a home run?,A walk,A hit that allows the batter to circle all bases and score,A strikeout,A stolen base only,B,A home run lets the batter score by circling the bases.,Easy
Sports,Baseball,What is the top professional baseball league in the U.S. called?,NHL,MLB,NBA,NFL,B,MLB stands for Major League Baseball.,Easy
Sports,Baseball,Who throws the ball to the batter?,Catcher,Pitcher,Shortstop,First baseman,B,The pitcher throws to the batter.,Easy
Sports,Baseball,What is it called when a batter swings and misses three times?,Goal,Strikeout,Touchback,Set point,B,Three strikes usually result in a strikeout.,Easy
Sports,Baseball,What does RBI stand for?,Run Batted In,Right Base Indicator,Runner Beyond Infield,Rapid Bat Impact,A,RBI stands for Run Batted In.,Medium
Sports,Baseball,What is the event called when the fielder catches a hit ball before it touches the ground?,Grounder,Fly out,Walk,Steal,B,A caught fly ball often results in a fly out.,Medium
Sports,Baseball,What is a double play?,Two runs scored,Two outs on one continuous play,Two pitchers at once,Two innings completed,B,A double play records two outs in one play.,Medium
Sports,Baseball,What championship series decides the MLB champion?,World Series,Super Bowl,Stanley Cup Final,Masters,A,The World Series decides the MLB champion.,Easy
Sports,General Sports,What event brings athletes from many countries together every four years?,Olympic Games,World Series,Tour de France,Masters Tournament,A,The Olympics bring together athletes from around the world.,Easy
Sports,General Sports,Which sport uses a racket and a net?,Golf,Tennis,Soccer,Rugby,B,Tennis uses rackets and a net.,Easy
Sports,General Sports,Which sport is associated with Wimbledon?,Basketball,Cricket,Tennis,Cycling,C,Wimbledon is a famous tennis tournament.,Easy
Sports,General Sports,Which sport is associated with the Tour de France?,Swimming,Cycling,Boxing,Gymnastics,B,The Tour de France is a cycling race.,Easy
Sports,General Sports,What is a referee's main job?,Sell tickets,Enforce rules during the game,Coach both teams,Write news stories,B,Referees and officials enforce the rules.,Easy
Sports,General Sports,What is sportsmanship?,Cheating to win,Respectful behavior toward others in sports,Only winning championships,Ignoring teammates,B,Sportsmanship includes fairness and respect.,Easy
Sports,General Sports,What does a coach usually do?,Play every position,Teach strategy and guide players,Sell food,Repair stadium lights,B,Coaches train and guide teams or athletes.,Easy
Sports,General Sports,What is a tie game?,A game with no score kept,A game in which the score is equal,A game that ends early,A game with extra players,B,A tie means both sides have the same score.,Easy
Sports,General Sports,What is a season in sports?,A weather forecast,The scheduled period in which teams play games,A halftime show,A single practice,B,A season is the portion of the year devoted to competition.,Easy
Sports,General Sports,Why do athletes train?,"To improve skill, fitness, and performance",To avoid learning rules,To stop practicing forever,Only to buy uniforms,A,Training helps athletes improve and compete.,Easy
Entertainment,Movies,Who performs a character in a movie?,Actor,Director,Editor,Producer,A,Actors perform characters on screen.,Easy
Entertainment,Movies,Who is mainly responsible for guiding the creative vision of a film?,Director,Cashier,Coach,Referee,A,The director guides the film's creative direction.,Easy
Entertainment,Movies,What is a screenplay?,A movie ticket,The written script for a film,A camera lens,A stage light,B,A screenplay is the script used to make a movie.,Easy
Entertainment,Movies,What is a sequel?,The first movie in a series,A follow-up movie,A movie trailer,A soundtrack only,B,A sequel continues or follows an earlier film.,Easy
Entertainment,Movies,What is animation?,Live sports commentary,Creating moving images from drawings or digital frames,Only acting on stage,A radio format,B,Animation creates motion from still images.,Easy
Entertainment,Movies,What is a documentary?,A fictional fantasy only,A nonfiction film about real subjects,A silent cartoon,A weather report,B,"Documentaries focus on real people, events, or topics.",Easy
Entertainment,Movies,What is a movie trailer?,The ending credits,A preview used to promote a film,A soundtrack album,A type of ticket,B,Trailers are previews shown before release.,Easy
Entertainment,Movies,What is a genre in film?,A type or category of movie,A movie theater seat,A camera brand,A ticket color,A,Genres classify films by style or subject.,Easy
Entertainment,Movies,Which genre focuses on humor?,Horror,Comedy,Documentary,Western,B,Comedies are designed to be funny.,Easy
Entertainment,Movies,What are subtitles?,Extra sound effects,Text showing spoken dialogue on screen,Only movie posters,Credits at the start only,B,Subtitles display dialogue as text.,Easy
Entertainment,Television,What is a TV series?,A single advertisement,A show with multiple episodes,A theater seat,A movie soundtrack,B,TV series are told across episodes.,Easy
Entertainment,Television,What is a season of a TV show?,A weather event,A group of episodes released as a unit,A channel number,A single commercial,B,Episodes are often grouped into seasons.,Easy
Entertainment,Television,What is a channel?,A TV station or source of programming,A movie villain,A ticket line,A dance move,A,A channel is a station or source of programs.,Easy
Entertainment,Television,What is a rerun?,A live concert,A repeated airing of an earlier episode,A canceled show,A sports penalty,B,A rerun is a repeat broadcast.,Easy
Entertainment,Television,What is a sitcom?,A type of game show,A situation comedy,A news broadcast,A sports documentary,B,Sitcom stands for situation comedy.,Medium
Entertainment,Television,What is a reality show?,A program featuring real people in unscripted or semi-scripted situations,An animated cartoon only,A history textbook,A radio ad,A,Reality shows focus on real participants rather than fictional characters.,Medium
Entertainment,Television,What is a pilot episode?,A travel show,The first episode used to launch a series,A final episode,A halftime special,B,A pilot introduces a new TV series.,Medium
Entertainment,Television,What does 'binge-watch' mean?,Watch many episodes in one stretch,Repair a television,Buy a movie ticket,Skip every episode,A,Binge-watching means watching multiple episodes back-to-back.,Easy
Entertainment,Television,What is a streaming series?,A show watched only in theaters,A TV or web series delivered online,A radio-only story,A paper magazine,B,Streaming series are viewed through internet services.,Easy
Entertainment,Television,What is a season finale?,The first episode of a season,The last episode of a season,A random commercial break,A TV remote,B,A finale closes a season's story arc.,Easy
Entertainment,Music,Who performs songs vocally?,Singer,Director,Referee,Painter,A,Singers perform songs with their voices.,Easy
Entertainment,Music,What is an album?,A collection of songs,A type of speaker cable,A movie ticket,A dance contest only,A,An album is a collection of recorded songs.,Easy
Entertainment,Music,What is a genre in music?,A type or style of music,A guitar string,A concert seat,A dance step,A,Genres classify music by style.,Easy
Entertainment,Music,What is a chorus in a song?,The repeated section often containing the main hook,The price of a ticket,A concert parking pass,A broken speaker,A,The chorus commonly repeats and is memorable.,Medium
Entertainment,Music,What is a beat in music?,A repeated rhythm pulse,A concert poster,A microphone stand,A stage curtain,A,The beat is the regular rhythmic pulse.,Easy
Entertainment,Music,What is a playlist?,A list or collection of songs to play,A movie script,A concert hall,A kind of instrument,A,Playlists organize songs for listening.,Easy
Entertainment,Music,What is a duet?,A song performed by two people,A long instrumental solo only,A one-minute commercial,A music award,A,A duet features two performers.,Easy
Entertainment,Music,What is a live concert?,A performance in front of an audience,A studio microphone,A music note,A silent film,A,Concerts are live performances.,Easy
Entertainment,Music,What is a music producer?,A person who helps shape the recording and sound of music,Only a ticket seller,A stadium owner,A dancer in the audience,A,Producers help create and refine recordings.,Medium
Entertainment,Music,What is a single in music?,A song released separately to promote an artist or album,A one-person dance only,A type of drumstick,A concert cancellation,A,Singles are often released individually.,Medium
Entertainment,Pop Culture,What is a celebrity?,A well-known public figure,A courtroom judge only,A type of camera,A sports stadium,A,Celebrities are widely recognized public figures.,Easy
Entertainment,Pop Culture,What is a viral video?,A video that spreads quickly online,A movie shown only in theaters,A weather forecast,A security camera clip only,A,Viral videos spread widely across the internet.,Easy
Entertainment,Pop Culture,What is a meme?,"A shared image, phrase, or joke that spreads online",A type of guitar,A TV station,A concert ticket,A,Memes spread quickly online and are often humorous.,Easy
Entertainment,Pop Culture,What is a fan base?,"A group of supporters of an artist, team, or creator",A machine for cooling air,A theater stage,A bank account type,A,A fan base is the group that supports a public figure or work.,Easy
Entertainment,Pop Culture,What is a franchise in entertainment?,A series of related works under one brand,A single lunch coupon,A tax document,A weather chart,A,"Franchises include multiple related films, shows, or games.",Medium
Entertainment,Pop Culture,What is cosplay?,Dressing up as a fictional character,A type of drum music,A movie rating system,A radio interview,A,Cosplay involves costumes based on characters.,Medium
Entertainment,Pop Culture,What is a spoiler?,Information that reveals key plot details before someone sees the story,A concert warm-up,A camera lens,A ticket refund,A,Spoilers reveal important story information in advance.,Easy
Entertainment,Pop Culture,What is a fandom?,A community of enthusiastic fans,A type of TV antenna,A music chord,A legal contract,A,A fandom is a community of devoted fans.,Easy
Entertainment,Pop Culture,What is box office success?,Strong movie ticket sales,A television repair,A free streaming coupon,A microphone brand,A,Box office refers to theatrical ticket revenue.,Medium
Entertainment,Pop Culture,What is a red carpet event?,A formal celebrity arrival event for premieres or awards,A sports injury clinic,A classroom activity,A bank ceremony,A,Red carpet events are associated with premieres and awards.,Easy
Entertainment,Games and Media,What is a video game console?,A device used to play video games,A TV commercial,A concert stage,A film projector,A,Consoles are dedicated gaming devices.,Easy
Entertainment,Games and Media,What is a podcast?,A digital audio program people can stream or download,A type of painting,A movie subtitle,A sports trophy,A,Podcasts are spoken-word or audio programs online.,Easy
Entertainment,Games and Media,What is streaming in entertainment?,Watching or listening online without fully downloading first,Only reading scripts,Buying CDs only,A kind of theater seat,A,Streaming delivers media over the internet.,Easy
Entertainment,Games and Media,What is a content creator?,"Someone who produces videos, posts, music, or other media for an audience",Only a TV repair person,A police officer,A chef only,A,Content creators make media for viewers or listeners.,Easy
